Model_ID,ICA_CE_Radius,MCA_CE_Radius,ACA_CE_Radius,Murray_Deviation_Percent,Murray_Exponent_k_minimize,Murray_Exponent_k_root
ct_074_L,1.684756,1.5531057499999998,0.6389834999999999,16.203,1.96997,1.96997
ct_074_R,2.00443775,1.35126025,1.3064222499999998,41.677,1.68666,1.68666
ct_075_L,2.46182875,1.87313875,1.4711325000000002,34.612,1.81971,1.81971
ct_075_R,2.2075015,2.01057675,0.7977682500000001,19.726,1.82199,1.82199
ct_076_L,1.8323855,1.66235375,1.14614525,0.863,2.95435,2.95435
ct_076_R,2.02806275,1.3191835714285711,1.27578475,47.585,1.55214,1.55213
ct_077_L,2.1486465625,1.65071075,1.1926115000000002,37.556,1.71666,1.71666
ct_077_R,1.9282035,1.7064145000000004,1.18855975,7.269,2.65365,2.65365
ct_078_L,2.0596620000000003,1.775102,1.41170225,3.786,2.82948,2.82948
ct_078_R,2.39938425,1.6485805000000002,1.4634077499999998,44.876,1.6044,1.6044
ct_079_L,2.2332427500000005,1.80707325,1.50434225,16.454,2.36104,2.36104
ct_079_R,2.17775775,1.8361765,1.35351075,16.052,2.33795,2.33795
ct_080_L,2.00722875,1.60178175,1.14666725,30.539,1.8897,1.8897
ct_080_R,1.8353057500000003,1.5080335,0.6260537500000001,40.554,1.35299,1.35299
ct_081_L,1.86145775,1.61714275,0.7666245,27.448,1.72824,1.72824
ct_081_R,1.923401,1.5701010000000002,1.2035217499999995,21.104,2.18774,2.18774
ct_082_L,2.2942410000000004,1.72277,1.35934875,36.858,1.76538,1.76538
ct_082_R,2.50134825,2.0835095,1.4862007499999998,21.233,2.15531,2.15531
ct_083_L,2.1827940000000003,1.53417825,1.591082,26.55,2.07494,2.07494
ct_084_L,1.90148275,1.574415,1.32292225,9.559,2.60594,2.60594
ct_084_R,1.94086725,1.5377897499999995,1.34613325,16.896,2.35648,2.35647
ct_085_L,1.7054727499999998,1.45696525,1.005823,17.14,2.27383,2.27383
ct_085_R,1.7229992499999998,1.59894925,0.8816597500000001,6.683,2.59217,2.59217
ct_086_L,2.0508542499999995,1.55219,1.27497775,32.619,1.88409,1.88409
